@relation class
@attribute h7_dst_bytes real
@attribute h7_dst_flow real
@attribute h7_dst_pkt real
@attribute h7_src_bytes real
@attribute h7_src_flow real
@attribute h7_src_pkt real
@attribute h8_dst_bytes real
@attribute h8_dst_flow real
@attribute h8_dst_pkt real
@attribute h8_src_bytes real
@attribute h8_src_flow real
@attribute h8_src_pkt real
@attribute h9_dst_bytes real
@attribute h9_dst_flow real
@attribute h9_dst_pkt real
@attribute h9_src_bytes real
@attribute h9_src_flow real
@attribute h9_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h7_rx_bytes real
@attribute port_h7_rx_crc_err real
@attribute port_h7_rx_drop real
@attribute port_h7_rx_error real
@attribute port_h7_rx_frame_err real
@attribute port_h7_rx_over_err real
@attribute port_h7_rx_pkt real
@attribute port_h7_tx_bytes real
@attribute port_h7_tx_drop real
@attribute port_h7_tx_error real
@attribute port_h7_tx_pkt real
@attribute port_h8_rx_bytes real
@attribute port_h8_rx_crc_err real
@attribute port_h8_rx_drop real
@attribute port_h8_rx_error real
@attribute port_h8_rx_frame_err real
@attribute port_h8_rx_over_err real
@attribute port_h8_rx_pkt real
@attribute port_h8_tx_bytes real
@attribute port_h8_tx_drop real
@attribute port_h8_tx_error real
@attribute port_h8_tx_pkt real
@attribute port_h9_rx_bytes real
@attribute port_h9_rx_crc_err real
@attribute port_h9_rx_drop real
@attribute port_h9_rx_error real
@attribute port_h9_rx_frame_err real
@attribute port_h9_rx_over_err real
@attribute port_h9_rx_pkt real
@attribute port_h9_tx_bytes real
@attribute port_h9_tx_drop real
@attribute port_h9_tx_error real
@attribute port_h9_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
15433,0,210,8344,0,103,4725,0,63,3100,0,32,5456,0,85,8271,0,99,61715,0,0,0,0,0,928,21005,0,0,253,8344,0,0,0,0,0,103,48842,0,0,746,3100,0,0,0,0,0,32,38439,0,0,603,9261,0,0,0,0,0,114,42194,0,0,663,0,0,0,0,0,0,0,"0"
15147,0,206,8555,0,105,4725,0,63,3100,0,32,7006,0,105,8222,0,97,65310,0,0,0,0,0,980,21703,0,0,261,8625,0,0,0,0,0,106,52314,0,0,796,3100,0,0,0,0,0,32,41587,0,0,649,9608,0,0,0,0,0,118,45522,0,0,712,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8696,0,126,8337,1,100,64556,0,0,0,0,0,960,21547,0,0,259,8345,0,0,0,0,0,103,51810,0,0,778,3170,0,0,0,0,0,33,41335,0,0,634,9529,0,0,0,0,0,118,45306,0,0,697,0,0,0,0,0,0,0,"0"
15452,0,210,8374,0,103,4725,0,63,3100,0,32,3910,0,66,8222,0,97,61006,0,0,0,0,0,914,21316,0,0,256,8374,0,0,0,0,0,103,48027,0,0,730,3100,0,0,0,0,0,32,37679,0,0,588,9542,0,0,0,0,0,117,41402,0,0,648,0,0,0,0,0,0,0,"0"
15274,0,208,8605,0,106,4725,0,63,3100,0,32,6788,0,102,8337,1,100,65460,0,0,0,0,0,983,21530,0,0,260,8605,0,0,0,0,0,106,52511,0,0,800,3100,0,0,0,0,0,32,41653,0,0,651,9525,0,0,0,0,0,118,45552,0,0,713,0,0,0,0,0,0,0,"0"
15287,0,208,8359,0,103,4725,0,63,3100,0,32,6286,0,96,8222,0,97,62444,0,0,0,0,0,936,21301,0,0,256,8359,0,0,0,0,0,103,49605,0,0,754,3100,0,0,0,0,0,32,39187,0,0,611,9542,0,0,0,0,0,117,42908,0,0,671,0,0,0,0,0,0,0,"0"
15293,0,208,8542,0,105,4725,0,63,3100,0,32,8558,0,124,8265,1,99,64194,0,0,0,0,0,961,21395,0,0,258,8542,0,0,0,0,0,105,51243,0,0,778,3100,0,0,0,0,0,32,40531,0,0,631,9453,0,0,0,0,0,117,44364,0,0,692,0,0,0,0,0,0,0,"0"
15367,0,209,8344,0,103,4725,0,63,3100,0,32,4032,0,67,7859,0,93,66119,0,0,0,0,0,993,20857,0,0,251,8344,0,0,0,0,0,103,53482,0,0,814,3100,0,0,0,0,0,32,43079,0,0,671,9113,0,0,0,0,0,112,46598,0,0,728,0,0,0,0,0,0,0,"0"
15213,0,207,8555,0,105,4725,0,63,3100,0,32,6754,0,102,8486,1,101,63647,0,0,0,0,0,956,21699,0,0,261,8555,0,0,0,0,0,105,50664,0,0,772,3100,0,0,0,0,0,32,39937,0,0,625,9674,0,0,0,0,0,119,43802,0,0,687,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,7040,0,105,8271,0,99,63447,0,0,0,0,0,954,21208,0,0,256,8415,0,0,0,0,0,104,50572,0,0,772,3100,0,0,0,0,0,32,40167,0,0,629,9393,0,0,0,0,0,116,44064,0,0,691,0,0,0,0,0,0,0,"0"
