@relation class
@attribute h_s_1_dst_bytes real
@attribute h_s_1_dst_flow real
@attribute h_s_1_dst_pkt real
@attribute h_s_1_src_bytes real
@attribute h_s_1_src_flow real
@attribute h_s_1_src_pkt real
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_h_s_1_rx_bytes real
@attribute port_h_s_1_rx_crc_err real
@attribute port_h_s_1_rx_drop real
@attribute port_h_s_1_rx_error real
@attribute port_h_s_1_rx_frame_err real
@attribute port_h_s_1_rx_over_err real
@attribute port_h_s_1_rx_pkt real
@attribute port_h_s_1_tx_bytes real
@attribute port_h_s_1_tx_drop real
@attribute port_h_s_1_tx_error real
@attribute port_h_s_1_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
338,5,5,17706,2,5,42585,0,504,69575,0,951,15550,0,0,0,0,0,204,76997,0,0,404,69012,0,0,0,0,0,387,157462,0,0,558,54287,0,0,0,0,0,222,68891,0,0,421,109019,0,0,0,0,0,49,34662,0,0,171,68325,0,0,0,0,0,934,75256,0,0,641,0,0,5,0,1,0,0,"0"
0,0,0,0,0,0,42743,0,502,67525,0,922,36649,0,0,0,0,0,263,140309,0,0,429,66042,0,0,0,0,0,323,51783,0,0,491,14474,0,0,0,0,0,183,70863,0,0,344,112989,0,0,0,0,0,63,17003,0,0,160,68329,0,0,0,0,0,933,55502,0,0,592,0,0,2,1,1,0,0,"0"
0,0,0,0,0,0,42840,1,507,69047,0,944,14093,0,0,0,0,0,179,100066,0,0,375,273926,0,0,0,0,0,447,62767,0,0,607,45613,0,0,0,0,0,341,276556,0,0,484,35151,0,0,0,0,0,19,48877,0,0,117,68693,0,0,0,0,0,939,90862,0,0,607,0,0,2,1,1,0,0,"0"
0,0,0,0,0,0,42332,0,499,68266,0,933,36460,0,0,0,0,0,264,141511,0,0,430,61587,0,0,0,0,0,323,119405,0,0,554,96136,0,0,0,0,0,263,98582,0,0,444,74745,0,0,0,0,0,38,69671,0,0,193,68266,0,0,0,0,0,933,110532,0,0,662,0,0,4,1,1,0,0,"0"
0,0,0,0,0,0,43056,1,508,68174,0,931,35549,0,0,0,0,0,246,118727,0,0,408,44512,0,0,0,0,0,315,73510,0,0,493,54130,0,0,0,0,0,192,61398,0,0,381,72744,0,0,0,0,0,35,25507,0,0,133,68174,0,0,0,0,0,931,66615,0,0,611,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,41861,0,494,67953,0,929,16457,0,0,0,0,0,222,120797,0,0,411,86947,0,0,0,0,0,356,88283,0,0,521,78941,0,0,0,0,0,251,93591,0,0,402,74598,0,0,0,0,0,35,25559,0,0,137,67953,0,0,0,0,0,929,65934,0,0,600,0,0,2,1,1,0,0,"0"
0,0,0,0,0,0,42908,1,506,68338,0,934,83391,0,0,0,0,0,254,91099,0,0,417,90142,0,0,0,0,0,386,143380,0,0,569,80127,0,0,0,0,0,240,101973,0,0,434,17912,0,0,0,0,0,8,41441,0,0,133,68188,0,0,0,0,0,932,84610,0,0,643,0,0,4,1,1,0,0,"0"
0,0,0,0,0,0,52281,9,600,73374,18,1015,48263,0,0,0,0,0,341,76521,0,0,605,28071,0,0,0,0,0,326,77648,0,0,589,54227,0,0,0,0,0,368,102479,0,0,627,80258,0,0,0,0,0,57,43304,0,0,364,77864,0,0,0,0,0,1082,115018,0,0,941,1,0,11,1,4,6,0,"0"
672,5,12,17772,3,6,59130,3,702,74157,0,1039,86565,0,0,0,0,0,423,248510,0,0,2616,90979,0,0,0,0,0,404,181767,0,0,1519,217272,0,0,0,0,0,2420,114498,0,0,650,87422,0,0,0,0,0,53,65338,0,0,1131,86763,0,0,0,0,0,1205,145701,0,0,1828,671,0,7,1,1,888,0,"1"
0,0,0,0,0,0,59325,0,701,84048,0,1164,63325,0,0,0,0,0,378,134194,0,0,560,109274,0,0,0,0,0,410,135571,0,0,605,24320,0,0,0,0,0,310,111100,0,0,514,124812,0,0,0,0,0,70,46141,0,0,238,85748,0,0,0,0,0,1189,102644,0,0,883,0,0,6,0,1,0,0,"0"
0,0,0,0,0,0,59223,2,700,86298,1,1195,90638,0,0,0,0,0,371,132098,0,0,622,54569,0,0,0,0,0,357,144636,0,0,623,114725,0,0,0,0,0,429,153923,0,0,630,49330,0,0,0,0,0,35,115836,0,0,279,88423,0,0,0,0,0,1229,192665,0,0,998,1,0,6,1,1,3,0,"0"
134,2,2,0,1,0,59214,1,702,85523,2,1183,110351,0,0,0,0,0,389,120161,0,0,610,163390,0,0,0,0,0,480,189942,0,0,689,45898,0,0,0,0,0,379,170237,0,0,593,86516,0,0,0,0,0,40,64618,0,0,250,87290,0,0,0,0,0,1208,133101,0,0,943,0,0,7,1,1,0,0,"0"
